x,rho,U,p
0,8,0,7.14286
0.0125,8,0,7.14286
0.025,8,0,7.14286
0.0375,8,0,7.14286
0.05,8,0,7.14286
0.0625,8,0,7.14286
0.075,8,0,7.14286
0.0875,8,0,7.14286
0.1,8,0,7.14286
0.1125,8,0,7.14286
0.125,8,0,7.14286
0.1375,8,0,7.14286
0.15,8,0,7.14286
0.1625,8,0,7.14286
0.175,8,0,7.14286
0.1875,8,0,7.14286
0.2,8,0,7.14286
0.2125,8,0,7.14286
0.225,8,0,7.14286
0.2375,8,0,7.14286
0.25,8,0,7.14286
0.2625,8,0,7.14286
0.275,8,0,7.14286
0.2875,7.6743,0.0462783,6.73907
0.3,7.32052,0.0983617,6.30819
0.3125,6.97991,0.150445,5.90113
0.325,6.65209,0.202528,5.51681
0.3375,6.33672,0.254612,5.15414
0.35,6.03341,0.306695,4.8121
0.3625,5.74184,0.358778,4.4897
0.375,5.46165,0.410862,4.186
0.3875,5.1925,0.462945,3.90008
0.4,4.93408,0.515028,3.63107
0.4125,4.68604,0.567112,3.37811
0.425,4.44808,0.619195,3.14042
0.4375,4.21989,0.671278,2.91721
0.45,4.00116,0.723362,2.70774
0.4625,3.7916,0.775445,2.51129
0.475,3.59091,0.827528,2.32719
0.4875,3.41056,0.87636,2.16522
0.5,3.41056,0.87636,2.16522
0.5125,3.41056,0.87636,2.16522
0.525,3.41056,0.87636,2.16522
0.5375,3.41056,0.87636,2.16522
0.55,3.41056,0.87636,2.16522
0.5625,3.41056,0.87636,2.16522
0.575,3.41056,0.87636,2.16522
0.5875,3.41056,0.87636,2.16522
0.6,3.41056,0.87636,2.16522
0.6125,3.41056,0.87636,2.16522
0.625,3.41056,0.87636,2.16522
0.6375,3.41056,0.87636,2.16522
0.65,3.41056,0.87636,2.16522
0.6625,3.41056,0.87636,2.16522
0.675,3.41056,0.87636,2.16522
0.6875,2.12459,0.87636,2.16522
0.7,2.12459,0.87636,2.16522
0.7125,2.12459,0.87636,2.16522
0.725,2.12459,0.87636,2.16522
0.7375,2.12459,0.87636,2.16522
0.75,2.12459,0.87636,2.16522
0.7625,2.12459,0.87636,2.16522
0.775,2.12459,0.87636,2.16522
0.7875,2.12459,0.87636,2.16522
0.8,2.12459,0.87636,2.16522
0.8125,2.12459,0.87636,2.16522
0.825,2.12459,0.87636,2.16522
0.8375,1,0,0.714286
0.85,1,0,0.714286
0.8625,1,0,0.714286
0.875,1,0,0.714286
0.8875,1,0,0.714286
0.9,1,0,0.714286
0.9125,1,0,0.714286
0.925,1,0,0.714286
0.9375,1,0,0.714286
0.95,1,0,0.714286
0.9625,1,0,0.714286
0.975,1,0,0.714286
0.9875,1,0,0.714286
1,1,0,0.714286
