x,rho,U,p
0,8,0,7.14286
0.01,8,0,7.14286
0.02,8,0,7.14286
0.03,8,0,7.14286
0.04,8,0,7.14286
0.05,8,0,7.14286
0.06,8,0,7.14286
0.07,8,9.82794e-14,7.14286
0.08,8,4.07861e-12,7.14286
0.09,8,8.25871e-11,7.14286
0.1,8,1.08742e-09,7.14286
0.11,8,1.04688e-08,7.14286
0.12,8,7.8563e-08,7.14286
0.13,8,4.78464e-07,7.14285
0.14,7.99998,2.43094e-06,7.14284
0.15,7.99992,1.05121e-05,7.14276
0.16,7.99972,3.92804e-05,7.14251
0.17,7.99908,0.00012835,7.14171
0.18,7.99735,0.000370293,7.13955
0.19,7.9932,0.0009511,7.13436
0.2,7.98433,0.00219145,7.12328
0.21,7.96738,0.00456384,7.10216
0.22,7.93818,0.00865882,7.06587
0.23,7.89243,0.0150948,7.00924
0.24,7.82661,0.0243996,6.92827
0.25,7.73871,0.0369133,6.82105
0.26,7.62854,0.0527478,6.68807
0.27,7.49749,0.0718076,6.53193
0.28,7.34809,0.0938482,6.35659
0.29,7.18343,0.118544,6.16659
0.3,7.0067,0.145543,5.96641
0.31,6.82089,0.174507,5.7601
0.32,6.62866,0.205131,5.55109
0.33,6.43225,0.237152,5.34215
0.34,6.23352,0.270346,5.13544
0.35,6.03399,0.304528,4.9326
0.36,5.83488,0.339545,4.73482
0.37,5.63718,0.375268,4.54296
0.38,5.44168,0.41159,4.35761
0.39,5.24904,0.448415,4.17912
0.4,5.05981,0.48566,4.00773
0.41,4.87445,0.523243,3.84353
0.42,4.69337,0.561085,3.68655
0.43,4.51699,0.599096,3.5368
0.44,4.34569,0.637177,3.39422
0.45,4.17994,0.675199,3.25883
0.46,4.0203,0.712995,3.13068
0.47,3.86752,0.750323,3.00999
0.48,3.72281,0.786797,2.89732
0.49,3.5885,0.821685,2.79407
0.5,3.47038,0.853227,2.70426
0.51,3.38557,0.876304,2.6405
0.52,3.36363,0.882007,2.62479
0.53,3.3655,0.88096,2.62733
0.54,3.36844,0.879505,2.6309
0.55,3.36925,0.878499,2.63318
0.56,3.36777,0.877936,2.63414
0.57,3.36458,0.877596,2.63435
0.58,3.35979,0.877345,2.6341
0.59,3.35244,0.877154,2.6333
0.6,3.3401,0.87701,2.63157
0.61,3.31813,0.876896,2.62816
0.62,3.27966,0.876805,2.62192
0.63,3.21698,0.876736,2.61156
0.64,3.1244,0.876682,2.59606
0.65,3.00136,0.876641,2.57527
0.66,2.85439,0.876613,2.55016
0.67,2.69631,0.876593,2.52281
0.68,2.54289,0.876581,2.49589
0.69,2.40835,0.876578,2.47192
0.7,2.30172,0.876582,2.45267
0.71,2.2254,0.876592,2.43875
0.72,2.17626,0.876611,2.42974
0.73,2.14798,0.876637,2.42457
0.74,2.13365,0.876667,2.42201
0.75,2.12748,0.876699,2.42098
0.76,2.12539,0.876734,2.4207
0.77,2.12503,0.876763,2.4207
0.78,2.12519,0.876761,2.42075
0.79,2.1253,0.876692,2.42057
0.8,2.12432,0.876083,2.41843
0.81,2.10577,0.865604,2.38258
0.82,1.9244,0.762377,2.052
0.83,1.42799,0.418774,1.2597
0.84,1.06723,0.0696711,0.785871
0.85,1.00414,0.00415596,0.718446
0.86,1.00021,0.000208533,0.714494
0.87,1.00001,1.00937e-05,0.714296
0.88,1,4.59835e-07,0.714286
0.89,1,1.87131e-08,0.714286
0.9,1,6.27575e-10,0.714286
0.91,1,1.51456e-11,0.714286
0.92,1,1.93856e-13,0.714286
0.93,1,0,0.714286
0.94,1,0,0.714286
0.95,1,0,0.714286
0.96,1,0,0.714286
0.97,1,0,0.714286
0.98,1,0,0.714286
0.99,1,0,0.714286
1,1,0,0.714286
